,Player,PS/G▼,SALARY
218,Matthew Dellavedova,7,1147276
221,JaMychal Green,7,845059
222,Amir Johnson,7,12000000
223,Shane Larkin,7,1500000
224,Jodie Meeks,7,6270000
225,Garrett Temple,7,1100602
226,Nick Young,7,5219169
227,Brandon Bass,7,3000000
228,Corey Brewer,7,8229375
229,Tyson Chandler,7,13000000
230,Mike Dunleavy,7,4500000
231,James Ennis,7,845059
232,Danny Green,7,10000000
233,Jason Smith,7,4300000
234,Aaron Brooks,7,2250000
235,Marreese Speights,7,3815000
236,David West,7,1499187
237,Luke Babbitt,7,1100602
238,Clint Capela,7,1242720
239,Willie Cauley-Stein,7,3398280
240,Festus Ezeli,7,2008748
241,John Henson,7,2943221
242,Andre Iguodala,7,11710456
243,Bobby Portis,7,1391160
245,Brandon Jennings,6,8344497
247,Andrew Nicholson,6,2380593
248,Patrick Patterson,6,6268675
249,Brandan Wright,6,5464000
251,Kosta Koufos,6,7700000
252,Andrea Bargnani,6,1362897
253,Vince Carter,6,4088019
254,Josh Richardson,6,525093
255,Ed Davis,6,6980802
256,Kris Humphries,6,1000000
258,Leandro Barbosa,6,2500000
259,Boris Diaw,6,7500000
261,Maurice Harkless,6,2894059
262,Thabo Sefolosha,6,4000000
263,Justise Winslow,6,2481720
264,Aron Baynes,6,6500000
265,Shaun Livingston,6,5543725
266,Timofey Mozgov,6,4950000
267,P.J. Hairston,6,1201440
268,Donatas Motiejunas,6,2288205
269,Mike Scott,6,3333333
270,Dante Cunningham,6,2850000
271,Channing Frye,6,8193029
272,Mario Hezonja,6,3741480
273,Trey Lyles,6,2239800
275,Paul Pierce,6,3376000
276,Tyler Zeller,6,2616975
277,Alexis Ajinca,6,4389607
279,Spencer Hawes,6,6110034
282,Trevor Booker,5,4775000
284,Randy Foye,5,3135000
285,Roy Hibbert,5,15592217
287,Raul Neto,5,900000
289,Rondae Hollis-Jefferson,5,1335480
291,Iman Shumpert,5,8988765
293,Ty Lawson,5,211744
294,Jarell Martin,5,1230840
296,Greivis Vasquez,5,6600000
297,Troy Daniels,5,947276
298,Bryce Dejean-Jones,5,169883
299,Jerian Grant,5,1572360
300,Richaun Holmes,5,1074169
301,Anthony Morrow,5,3344000
302,Norman Powell,5,650000
303,Tiago Splitter,5,9756250
304,Cole Aldrich,5,1100602
307,Boban Marjanovic,5,1200000
308,Larry Nance Jr.,5,1155600
309,Lavoy Allen,5,4050000
310,Andrew Bogut,5,13800000
312,Tony Snell,5,1535880
313,Anthony Tolliver,5,3000000
315,Nemanja Bjelica,5,3950001
318,Miles Plumlee,5,2109294
319,JaKarr Sampson,5,258489
322,James Johnson,5,2500000
323,Cameron Payne,5,2021520
326,Spencer Dinwiddie,4,845059
327,Kyle O'Quinn,4,3750000
328,Andre Roberson,4,1210800
329,Chris McCullough,4,1140240
330,Willie Reed,4,947276
331,Beno Udrih,4,2170465
332,Kyle Anderson,4,1142880
333,Tyler Ennis,4,1662360
334,Alonzo Gee,4,1320000
337,Jordan McRae,4,111196
338,Nikola Pekovic,4,12100000
339,Steve Blake,4,2170465
341,Jonas Jerebko,4,5000000
343,Joakim Noah,4,13400000
344,Thomas Robinson,4,981348
345,C.J. Watson,4,5000000
346,Jeff Withey,4,947276
347,Solomon Hill,4,1358880
348,Joe Ingles,4,2050000
349,Tyus Jones,4,1282080
350,Ryan Kelly,4,1724250
351,Brandon Rush,4,1270964
353,Chase Budinger,4,206192
354,John Jenkins,4,981348
355,Omer Asik,4,9213483
356,Anthony Brown,4,700000
357,Rakeem Christmas,4,1007026
358,Darrun Hilliard,4,600000
359,Brian Roberts,4,2854940
360,Chris Andersen,3,5000000
361,Kevin Seraphin,3,2814000
362,Justin Anderson,3,1449000
364,Delon Wright,3,1509360
365,Joe Young,3,1007026
366,Caron Butler,3,1449187
367,Orlando Johnson,3,55722
369,Kendall Marshall,3,2144772
371,Andre Miller,3,250750
372,Shabazz Napier,3,1294440
375,Montrezl Harrell,3,1000000
376,Josh McRoberts,3,5543725
378,Noah Vonleh,3,2637720
379,Christian Wood,3,525093
380,Jordan Adams,3,1404600
381,James Anderson,3,1015421
382,Robert Sacre,3,981348
384,Cristiano Felicio,3,525093
385,Ryan Hollins,3,239605
386,Kyle Singler,3,4500000
387,Reggie Bullock,3,1252440
390,Phil Pressey,3,55722
391,Kevin Garnett,3,8500000
393,Jason Thompson,3,245177
394,Rashad Vaughn,3,1733040
395,Thanasis Antetokounmpo,3,30888
396,Kirk Hinrich,3,2854940
399,Chris Johnson,2,981348
402,Alan Williams,2,83397
403,Andrew Goudelock,2,200600
404,Josh Huestis,2,1140240
405,Cory Jefferson,2,49709
406,Chris Kaman,2,5016000
410,Drew Gooden,2,3300000
411,R.J. Hunter,2,1148640
413,Kostas Papanikolaou,2,800321
414,Anderson Varejao,2,289755
416,Lorenzo Brown,2,111444
417,Adreian Payne,2,1938840
419,Pablo Prigioni,2,947726
420,Sonny Weems,2,2814000
421,Jarell Eddie,2,561716
422,Jeremy Evans,2,1100602
423,Tyler Hansbrough,2,947276
424,Sergey Karasev,2,1599840
425,K.J. McDaniels,2,3189794
426,Steve Novak,2,295327
429,Damjan Rudez,2,1149500
430,Walter Tavares,2,1000000
431,Lucas Nogueira,2,1842000
432,DeJuan Blair,2,2000000
433,Nick Collison,2,3750000
434,Chris Copeland,2,1150000
438,Tibor Pleiss,2,2900000
440,Lou Amundson,1,1635476
441,Jeff Ayres,1,111444
443,Jorge Gutierrez,1,189455
444,Damien Inglis,1,855000
445,Kevon Looney,1,1131960
446,Elijah Millsap,1,845059
447,Terry Rozier,1,1824360
449,Nazr Mohammed,1,222888
451,Elliot Williams,1,55722
453,Jimmer Fredette,1,874837
454,Russ Smith,1,845059
455,Erick Green,1,99418
457,Mitch McGary,1,1463040
